"studyday","timeperiod","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
7,72,"Unwashed","Interceptor®",1,17,5,0,0,5,0,22
7,72,"Control","Control",0,2,4,1,0,4,1,7
7,72,"20x Washed","Interceptor®G2",2,5,11,0,0,11,0,16
7,72,"20x Washed","Interceptor®",1,12,11,0,0,11,0,23
7,72,"20x Washed","Interceptor®",1,23,4,0,0,4,0,27
7,72,"Unwashed","Interceptor®G2",2,7,14,0,0,14,0,21
7,72,"Unwashed","Interceptor®G2",2,10,23,0,1,24,1,34
8,72,"Unwashed","Interceptor®G2",2,6,4,2,0,4,2,12
8,72,"Unwashed","Interceptor®G2",2,16,18,1,0,18,1,35
8,72,"Control","Control",0,4,0,4,0,0,4,8
8,72,"20x Washed","Interceptor®",1,22,7,2,0,7,2,31
8,72,"Unwashed","Interceptor®",1,3,1,0,0,1,0,4
8,72,"20x Washed","Interceptor®G2",2,18,10,0,0,10,0,28
8,72,"Unwashed","Interceptor®",1,12,2,0,0,2,0,14
8,72,"Control","Control",0,5,0,3,0,0,3,8
8,72,"20x Washed","Interceptor®",1,28,1,2,0,1,2,31
8,72,"20x Washed","Interceptor®G2",2,14,6,0,0,6,0,20
9,72,"20x Washed","Interceptor®G2",2,41,8,1,2,10,3,52
9,72,"20x Washed","Interceptor®",1,48,1,0,0,1,0,49
9,72,"Unwashed","Interceptor®",1,23,4,0,0,4,0,27
9,72,"20x Washed","Interceptor®",1,39,1,0,0,1,0,40
9,72,"Unwashed","Interceptor®",1,19,0,0,0,0,0,19
9,72,"Control","Control",0,6,0,1,0,0,1,7
9,72,"Unwashed","Interceptor®G2",2,16,7,0,1,8,1,24
9,72,"Control","Control",0,14,0,1,0,0,1,15
9,72,"Unwashed","Interceptor®G2",2,6,3,0,0,3,0,9
9,72,"20x Washed","Interceptor®G2",2,20,30,0,0,30,0,50
10,72,"20x Washed","Interceptor®G2",2,26,5,0,0,5,0,31
10,72,"Unwashed","Interceptor®",1,27,2,0,0,2,0,29
10,72,"Unwashed","Interceptor®G2",2,12,4,0,0,4,0,16
10,72,"Unwashed","Interceptor®G2",2,9,0,0,2,2,2,11
10,72,"20x Washed","Interceptor®",1,19,5,2,0,5,2,26
10,72,"20x Washed","Interceptor®",1,22,1,0,0,1,0,23
10,72,"20x Washed","Interceptor®G2",2,26,13,1,0,13,1,40
10,72,"Control","Control",0,2,0,0,0,0,0,2
10,72,"Control","Control",0,4,0,1,0,0,1,5
10,72,"Unwashed","Interceptor®",1,12,0,0,0,0,0,12
11,72,"20x Washed","Interceptor®",1,17,24,0,0,24,0,41
11,72,"20x Washed","Interceptor®G2",2,10,3,0,0,3,0,13
11,72,"Control","Control",0,3,0,0,0,0,0,3
11,72,"Unwashed","Interceptor®G2",2,3,6,0,0,6,0,9
11,72,"Unwashed","Interceptor®G2",2,0,1,0,0,1,0,1
11,72,"Unwashed","Interceptor®",1,14,7,0,0,7,0,21
11,72,"Control","Control",0,4,0,0,0,0,0,4
11,72,"20x Washed","Interceptor®G2",2,2,2,0,0,2,0,4
11,72,"Unwashed","Interceptor®",1,2,0,1,0,0,1,3
11,72,"20x Washed","Interceptor®",1,12,1,0,0,1,0,13
12,72,"Control","Control",0,5,0,0,0,0,0,5
12,72,"Control","Control",0,5,0,1,0,0,1,6
12,72,"20x Washed","Interceptor®",1,16,1,0,0,1,0,17
12,72,"Unwashed","Interceptor®",1,4,3,0,0,3,0,7
12,72,"Unwashed","Interceptor®G2",2,3,1,0,0,1,0,4
12,72,"20x Washed","Interceptor®G2",2,15,0,0,0,0,0,15
12,72,"Unwashed","Interceptor®G2",2,8,1,1,0,1,1,10
