"day","month","year","trialday","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
"04","Feb","2021",28,"Control","untreated",0,0,0,0,0,0,0,0
"19","Jan","2021",14,"Control","untreated",0,0,0,0,0,0,0,0
"04","Aug","2020",20,"0","interceptor",1,1,1,0,0,1,0,2
"20","Apr","2021",2,"0","olysetplus",2,1,0,0,0,0,0,1
"25","Nov","2020",21,"0","olysetplus",2,0,0,0,0,0,0,0
"25","Mar","2021",22,"Control","untreated",0,0,0,0,0,0,0,0
"08","Jan","2021",5,"Control","untreated",0,0,0,0,0,0,0,0
"28","Nov","2020",24,"0","olysetplus",2,0,0,0,0,0,0,0
"13","Jan","2021",9,"0","interceptorG2",3,0,1,0,0,1,0,1
"27","Nov","2021",18,"Control","untreated",0,0,0,0,0,0,0,0
"30","Mar","2021",26,"Control","untreated",0,1,0,0,0,0,0,1
"27","Apr","2021",8,"Control","untreated",0,0,0,1,0,0,1,1
"17","Dec","2021",35,"Control","untreated",0,1,0,0,0,0,0,1
"24","Jun","2020",33,"Control","untreated",0,1,0,0,0,0,0,1
"13","Nov","2020",11,"Control","untreated",0,0,0,1,0,0,1,1
"12","Mar","2021",11,"0","interceptorG2",3,0,0,0,0,0,0,0
"27","May","2020",9,"Control","untreated",0,0,0,0,0,0,0,0
"23","Nov","2020",19,"0","olysetplus",2,0,2,1,0,2,1,3
"10","May","2021",19,"Control","untreated",0,1,0,0,0,0,0,1
"19","Mar","2021",17,"Control","untreated",0,1,0,0,0,0,0,1
"20","Jan","2021",15,"Control","untreated",0,0,0,0,0,0,0,0
"18","Jun","2021",5,"Control","untreated",0,0,0,2,0,0,2,2
"09","Nov","2021",2,"Control","untreated",0,0,0,0,0,0,0,0
"29","May","2021",36,"Control","untreated",0,0,0,2,0,0,2,2
"05","Jan","2021",2,"Control","untreated",0,0,0,0,0,0,0,0
"28","May","2021",35,"0","interceptor",1,0,0,0,0,0,0,0
"07","Apr","2021",33,"Control","untreated",0,0,0,0,0,0,0,0
"08","Jun","2020",19,"0","interceptorG2",3,0,0,0,0,0,0,0
"04","Dec","2020",29,"Control","untreated",0,0,0,0,0,0,0,0
"04","Jun","2020",16,"Control","untreated",0,0,0,0,0,0,0,0
"28","Nov","2020",24,"0","interceptor",1,0,0,0,0,0,0,0
"10","Jun","2020",21,"Control","untreated",0,0,0,0,0,0,0,0
"14","Nov","2020",12,"Control","untreated",0,0,0,1,0,0,1,1
"25","May","2020",7,"Control","untreated",0,0,0,0,0,0,0,0
"24","Mar","2021",21,"Control","untreated",0,0,0,1,0,0,1,1
"30","May","2020",12,"Control","untreated",0,0,0,0,0,0,0,0
"26","May","2021",33,"Control","untreated",0,2,0,0,0,0,0,2
"26","Jun","2021",12,"0","interceptor",1,1,0,1,0,0,1,2
"03","Nov","2020",2,"Control","untreated",0,0,0,0,0,0,0,0
"07","Jul","2021",21,"Control","untreated",0,1,0,0,0,0,0,1
"03","May","2021",13,"Control","untreated",0,0,0,1,0,0,1,1
"11","Feb","2021",34,"0","interceptor",1,0,0,0,0,0,0,0
"02","Nov","2020",1,"Control","untreated",0,2,0,0,0,0,0,2
"16","Jan","2021",12,"Control","untreated",0,0,0,0,0,0,0,0
"16","Nov","2021",8,"Control","untreated",0,0,0,0,0,0,0,0
"05","Dec","2020",30,"Control","untreated",0,0,0,0,0,0,0,0
"12","Nov","2021",5,"Control","untreated",0,0,0,2,0,0,2,2
"14","Aug","2020",29,"Control","untreated",0,2,0,0,0,0,0,2
"25","May","2021",32,"Control","untreated",0,1,0,0,0,0,0,1
"09","Jun","2020",20,"Control","untreated",0,0,0,0,0,0,0,0
"29","May","2020",11,"Control","untreated",0,0,0,0,0,0,0,0
"26","Jan","2021",20,"Control","untreated",0,1,0,0,0,0,0,1
"09","Jul","2021",23,"Control","untreated",0,1,0,1,0,0,1,2
"25","Jun","2021",11,"Control","untreated",0,1,0,1,0,0,1,2
"11","Mar","2021",10,"Control","untreated",0,0,0,0,0,0,0,0
"12","Feb","2021",35,"0","interceptor",1,0,0,0,0,0,0,0
"07","Apr","2021",33,"0","olysetplus",2,0,0,0,0,0,0,0
"31","Mar","2021",27,"Control","untreated",0,0,0,0,0,0,0,0
"20","Jul","2020",7,"Control","untreated",0,1,0,1,0,0,1,2
"17","Nov","2021",9,"Control","untreated",0,0,0,0,0,0,0,0
"15","Nov","2021",7,"Control","untreated",0,1,0,0,0,0,0,1
"09","Jan","2021",6,"Control","untreated",0,0,0,0,0,0,0,0
"17","Jun","2020",27,"Control","untreated",0,0,0,0,0,0,0,0
"29","Nov","2021",19,"Control","untreated",0,0,0,1,0,0,1,1
"29","Jan","2021",23,"0","olysetplus",2,1,0,0,0,0,0,1
"08","Jul","2021",22,"Control","untreated",0,1,0,0,0,0,0,1
"23","Mar","2021",20,"Control","untreated",0,0,0,0,0,0,0,0
"13","May","2021",22,"Control","untreated",0,1,0,0,0,0,0,1
"03","Jul","2021",18,"Control","untreated",0,0,0,2,0,0,2,2
"09","Feb","2021",32,"Control","untreated",0,0,0,0,0,0,0,0
"14","Jul","2020",2,"Control","untreated",0,2,0,0,0,0,0,2
"08","Feb","2021",31,"Control","untreated",0,1,0,0,0,0,0,1
"01","Jul","2021",16,"Control","untreated",0,1,0,0,0,0,0,1
"10","Feb","2021",33,"Control","untreated",0,0,0,0,0,0,0,0
"05","Feb","2021",29,"0","interceptor",1,0,0,0,0,0,0,0
"03","May","2021",13,"0","interceptorG2",3,2,1,0,0,1,0,3
"12","May","2021",21,"0","olysetplus",2,2,1,1,0,1,1,4
"02","Jul","2021",17,"Control","untreated",0,1,0,1,1,1,2,3
"25","Jan","2021",19,"0","interceptorG2",3,0,1,0,0,1,0,1
"08","May","2021",18,"Control","untreated",0,2,0,0,0,0,0,2
"11","Jun","2020",22,"Control","untreated",0,0,0,0,0,0,0,0
"10","May","2021",19,"0","interceptor",1,2,0,0,0,0,0,2
"02","Jun","2020",14,"0","interceptor",1,0,0,0,0,0,0,0
"27","Mar","2021",24,"Control","untreated",0,2,0,0,0,0,0,2
"06","Jul","2021",20,"0","interceptor",1,2,0,0,0,0,0,2
"27","May","2020",9,"0","interceptor",1,0,0,0,0,0,0,0
"21","Nov","2020",18,"Control","untreated",0,1,0,1,0,0,1,2
"07","Nov","2020",6,"Control","untreated",0,1,0,0,0,0,0,1
"01","Dec","2020",26,"Control","untreated",0,0,0,0,0,0,0,0
"20","Mar","2021",18,"Control","untreated",0,0,0,0,0,0,0,0
"03","Jun","2020",15,"Control","untreated",0,0,0,0,0,0,0,0
"13","Mar","2021",12,"Control","untreated",0,0,0,0,0,0,0,0
"05","Feb","2021",29,"Control","untreated",0,0,0,0,0,0,0,0
"22","Jan","2021",17,"Control","untreated",0,0,0,1,0,0,1,1
"25","Jan","2021",19,"Control","untreated",0,2,0,1,0,0,1,3
"20","Nov","2021",12,"Control","untreated",0,0,0,0,0,0,0,0
"22","Mar","2021",19,"Control","untreated",0,2,0,0,0,0,0,2
"17","Mar","2021",15,"Control","untreated",0,0,0,0,0,0,0,0
"26","Mar","2021",23,"Control","untreated",0,0,0,2,0,0,2,2
"22","Jun","2020",31,"Control","untreated",0,2,0,0,0,0,0,2
"19","Nov","2020",16,"Control","untreated",0,1,0,0,0,0,0,1
"19","Jun","2020",29,"Control","untreated",0,0,0,0,0,0,0,0
"06","Jul","2021",20,"Control","untreated",0,3,0,0,0,0,0,3
"01","Dec","2021",21,"Control","untreated",0,0,0,0,0,0,0,0
"13","Feb","2021",36,"Control","untreated",0,2,0,0,0,0,0,2
